train_accuracy_step,train_f1score_step,train_cross_entropy_step,epoch,step,val_accuracy,val_f1score,val_cross_entropy,train_accuracy_epoch,train_f1score_epoch,train_cross_entropy_epoch
0.578125,0.4544060230255127,1.4545049667358398,0,49,,,,,,
0.625,0.5572963356971741,1.2442898750305176,0,99,,,,,,
,,,0,140,0.7165563106536865,0.6207779049873352,0.9604469537734985,,,
,,,0,140,,,,0.5703679323196411,0.47411373257637024,1.4333328008651733
0.75,0.58709716796875,0.7516733407974243,1,149,,,,,,
0.84375,0.7539660334587097,0.5799556970596313,1,199,,,,,,
0.890625,0.8543497920036316,0.43898069858551025,1,249,,,,,,
,,,1,281,0.7642384171485901,0.6883675456047058,0.799405574798584,,,
,,,1,281,,,,0.8070700168609619,0.7344653606414795,0.6246659755706787
0.890625,0.8426090478897095,0.3843010365962982,2,299,,,,,,
0.859375,0.8491978645324707,0.38488397002220154,2,349,,,,,,
0.90625,0.8467725515365601,0.30334457755088806,2,399,,,,,,
,,,2,422,0.74701988697052,0.6821707487106323,0.9064789414405823,,,
,,,2,422,,,,0.8967198729515076,0.8586838841438293,0.3310818672180176
