train_accuracy_step,train_f1score_step,train_labelsmoothingcrossentropy_step,epoch,step,val_accuracy,val_f1score,val_labelsmoothingcrossentropy,train_accuracy_epoch,train_f1score_epoch,train_labelsmoothingcrossentropy_epoch
0.1875,0.15539036691188812,2.5646486282348633,0,49,,,,,,
0.28125,0.18674692511558533,2.26627254486084,0,99,,,,,,
,,,0,140,0.14715608954429626,0.06901677697896957,2.634364366531372,,,
,,,0,140,,,,0.290669322013855,0.21362696588039398,2.304372549057007
0.53125,0.3694385290145874,1.7437455654144287,1,149,,,,,,
0.578125,0.5200492739677429,1.614647388458252,1,199,,,,,,
0.5,0.392377644777298,1.6296601295471191,1,249,,,,,,
,,,1,281,0.33201056718826294,0.2627788484096527,2.160214424133301,,,
,,,1,281,,,,0.5039893388748169,0.4345579743385315,1.6750423908233643
0.703125,0.7079028487205505,1.1892555952072144,2,299,,,,,,
0.578125,0.5627302527427673,1.3846712112426758,2,349,,,,,,
0.578125,0.4504246115684509,1.2704118490219116,2,399,,,,,,
,,,2,422,0.24074074625968933,0.17304512858390808,2.426976442337036,,,
,,,2,422,,,,0.649490237236023,0.5911978483200073,1.2156999111175537
0.828125,0.8173408508300781,0.6596981883049011,3,449,,,,,,
0.796875,0.6868072152137756,0.7132611870765686,3,499,,,,,,
0.78125,0.7235653400421143,0.854529082775116,3,549,,,,,,
,,,3,563,0.47387567162513733,0.4045521020889282,1.9073480367660522,,,
,,,3,563,,,,0.7552083134651184,0.716444730758667,0.8942389488220215
0.875,0.806829571723938,0.6023385524749756,4,599,,,,,,
0.84375,0.8999056816101074,0.6245946288108826,4,649,,,,,,
0.828125,0.8111790418624878,0.6790813207626343,4,699,,,,,,
,,,4,704,0.27447089552879333,0.251644104719162,2.5291950702667236,,,
,,,4,704,,,,0.8236923813819885,0.7876051664352417,0.6946853399276733
0.890625,0.785574197769165,0.476951539516449,5,749,,,,,,
0.890625,0.8946638107299805,0.430385947227478,5,799,,,,,,
,,,5,845,0.4176587164402008,0.36908939480781555,2.1179182529449463,,,
,,,5,845,,,,0.876329779624939,0.8734521865844727,0.5402693748474121
0.890625,0.7925662994384766,0.574929416179657,6,849,,,,,,
0.875,0.8454227447509766,0.64003586769104,6,899,,,,,,
0.890625,0.8540400266647339,0.5669930577278137,6,949,,,,,,
,,,6,986,0.40839946269989014,0.37380480766296387,2.336729049682617,,,
,,,6,986,,,,0.8980496525764465,0.8995556831359863,0.47895386815071106
0.96875,0.9155983924865723,0.31276512145996094,7,999,,,,,,
0.90625,0.9013230204582214,0.5460937023162842,7,1049,,,,,,
0.90625,0.828727126121521,0.4892299175262451,7,1099,,,,,,
,,,7,1127,0.28802910447120667,0.2439185082912445,2.8020102977752686,,,
,,,7,1127,,,,0.9212101101875305,0.9222941398620605,0.42609503865242004
0.953125,0.9739998579025269,0.32826894521713257,8,1149,,,,,,
0.9375,0.949404776096344,0.3477351665496826,8,1199,,,,,,
0.921875,0.9205756187438965,0.45870691537857056,8,1249,,,,,,
,,,8,1268,0.40939152240753174,0.35592979192733765,2.185723304748535,,,
,,,8,1268,,,,0.9366135001182556,0.9420409202575684,0.37963491678237915
0.921875,0.9040464758872986,0.3839355707168579,9,1299,,,,,,
0.953125,0.9576231837272644,0.30067145824432373,9,1349,,,,,,
0.984375,0.9834920763969421,0.24554190039634705,9,1399,,,,,,
,,,9,1409,0.5568783283233643,0.5124849081039429,1.7369290590286255,,,
,,,9,1409,,,,0.951795220375061,0.9578431248664856,0.333081990480423
0.9375,0.9583839178085327,0.32877016067504883,10,1449,,,,,,
0.984375,0.9937415719032288,0.2230597883462906,10,1499,,,,,,
