text;name;labels
Bulbasaur resembles a small amphibian/frog, but it bears three claws on each of its feet and has no tail;Bulbasaur;0
It also has large, red eyes and small, sharp teeth;Bulbasaur;0
Its skin is a light, turquoise color with dark, green spots;Bulbasaur;0
It has three claws on all four of its legs;Bulbasaur;0
Its most notable feature, however, is the aforementioned bulb on its back, which according to its entry in the Pokédex, was planted there at birth;Bulbasaur;0
A Bulbasaur often rests in bright places so its bulb can absorb sunlight;Bulbasaur;0
It can be seen napping in bright sunlight;Bulbasaur;0
While it sleeps, the seed on its back catches the rays and uses the energy to grow;Bulbasaur;0
In the wild, Bulbasaur tend to be very rare, as they are shy creatures that prefer the company of their own kind;Bulbasaur;0
However, they are also generally very docile, tame, and loyal to people that they trust, and for that reason are one of the species of Pokémon available for starting trainers to choose in the region of Kanto;Bulbasaur;0
Each Bulbasaur has a bulb on its back that grows steadily larger as it matures;Bulbasaur;0
This bulb contains a seed which uses photosynthesis to supply Bulbasaur with energy;Bulbasaur;0
Its bulb is also used to store the energy that the seed absorbs, which can be used when it is necessary;Bulbasaur;0
It is assumed that when a Bulbasaur collects enough energy in its bulb, it will evolve into an Ivysaur;Bulbasaur;0
The plants are able to become mobile by virtue of their active hosts, allowing them to move out of shaded areas and thus benefiting them as well;Bulbasaur;0
Bulbasaur evolves into Ivysaur starting at level 16, and into Venusaur at level 32;Bulbasaur;0
Bulbasaur is a small, quadrupedal amphibian Pokémon that has blue-green skin with darker patches;Bulbasaur;0
It has red eyes with white pupils, pointed, ear-like structures on top of its head, and a short, blunt snout with a wide mouth;Bulbasaur;0
A pair of small, pointed teeth are visible in the upper jaw when its mouth is open;Bulbasaur;0
Each of its thick legs ends with three sharp claws;Bulbasaur;0
On Bulbasaur's back is a green plant bulb, which is grown from a seed planted there at birth;Bulbasaur;0
The bulb also conceals two slender, tentacle-like vines and provides it with energy through photosynthesis as well as from the nutrient-rich seeds contained within;Bulbasaur;0
As mentioned in the anime, starter Pokémon are raised by Breeders to be distributed to new Trainers;Bulbasaur;0
Having been domesticated from birth, Bulbasaur is regarded as both a rare and well-behaved Pokémon;Bulbasaur;0
It is known to be extremely loyal, even after long-term abandonment;Bulbasaur;0
Bulbasaur in the anime have demonstrated a nurturing instinct towards younger, weaker Pokémon, one individual even using its vines to pick up a crying Pokémon, gently rocking it back and forth through the air while singing a Bulba-by;Bulbasaur;0
It is found in grasslands and forests throughout the Kanto region;Bulbasaur;0
However, due to Bulbasaur's status as starter Pokémon, it is hard to come by in the wild and generally found under the ownership of a Trainer;Bulbasaur;0
It has been observed that a Bulbasaur's bulb will flash blue when it is ready to evolve;Bulbasaur;0
If it does not want to evolve, it struggles to resist the transformation;Bulbasaur;0
Many Bulbasaur gather every year in a hidden garden in Kanto to evolve into Ivysaur in a ceremony led by a Venusaur;Bulbasaur;0
